client_id,latency_ms,memory_spike_mb
3,3972.226142883301,320.62890625
3,2420.3062057495117,2.03515625
3,2116.352081298828,2.75390625
3,3249.155044555664,4.3203125
3,2121.7520236968994,3.29296875
3,2378.701686859131,0
3,2468.8539505004883,2.8984375
3,2141.7036056518555,2.83984375
3,1986.8199825286865,2.84375
3,1465.9397602081299,2.84375
3,1447.542428970337,2.84375
3,1321.861982345581,2.296875
3,1326.3633251190186,0
3,739.471435546875,7.56640625
3,1003.5262107849121,2.9296875
3,1400.7208347320557,0.33203125
4,4123.856067657471,320.1328125
0,5041.606664657593,320.484375
2,5306.490898132324,320.1484375
1,5644.264221191406,320.1171875
4,2669.501781463623,4.21875
0,2112.5621795654297,2.390625
2,2096.0724353790283,2.80078125
4,2150.8166790008545,3.38671875
1,2249.5789527893066,2.7734375
0,2019.1314220428467,2.3203125
2,2175.5597591400146,2.40625
1,2023.5345363616943,2.41796875
4,2295.024871826172,0.48046875
0,1989.2070293426514,1.69921875
2,2005.0461292266846,0.40625
1,2076.9214630126953,1.03515625
4,2175.2991676330566,2.390625
0,2157.121419906616,4.70703125
2,2294.956922531128,3.2890625
1,2012.0065212249756,3.22265625
4,2290.203332901001,2.4609375
0,2266.5581703186035,4.765625
2,2518.266201019287,4.1875
1,2397.68648147583,2.4921875
4,2337.9509449005127,2.3984375
0,2628.138542175293,4.69921875
2,2320.4174041748047,3.2890625
1,2390.6359672546387,2.3984375
4,2340.7645225524902,3.8359375
0,2178.2009601593018,2.9453125
2,2195.920705795288,2.375
1,2259.904146194458,0
4,2215.320587158203,3.41796875
0,2282.2065353393555,1.41015625
2,2094.2471027374268,3.640625
1,2220.3094959259033,3.8359375
4,2122.3082542419434,2.69921875
0,2053.3993244171143,3.09765625
2,1994.8570728302002,3.23828125
1,2167.93155670166,3.2421875
4,2188.464879989624,1.86328125
0,1981.9550514221191,2.11328125
2,2054.063081741333,2.5
1,2222.7838039398193,2.74609375
4,2114.2630577087402,3.296875
0,2540.1065349578857,3.140625
2,2644.7064876556396,4.59765625
1,2989.0544414520264,3.25390625
0,2586.6994857788086,2.41796875
4,3236.478328704834,3.8046875
2,2389.6241188049316,3.29296875
1,3068.1893825531006,2.65234375
0,2740.6327724456787,3.6875
4,3141.960859298706,4.80078125
2,2799.802780151367,0
1,3071.5997219085693,2.80078125
0,2966.276168823242,5.15625
4,2732.6180934906006,4.796875
2,2768.909454345703,2.671875
4,1902.446985244751,0
0,2167.2322750091553,0
1,2359.498977661133,2.265625
2,1960.2959156036377,0.01953125
1,1366.943597793579,7.65234375
1,2316.8742656707764,4.21484375
2,2625.1776218414307,2.44140625
0,2689.208984375,4.25
3,2988.3968830108643,3.37109375
4,3178.936719894409,2.46875
1,2165.813207626343,2.88671875
0,2244.2755699157715,2.87890625
2,2943.129777908325,2.3671875
3,2580.8913707733154,2.75
4,3031.8331718444824,2.74609375
1,2285.371780395508,2.703125
0,2935.03999710083,4.26953125
2,2629.1613578796387,0.4296875
4,2231.069326400757,2.6796875
3,2915.8434867858887,3.265625
1,2231.584310531616,2.70703125
0,2660.402297973633,2.87890625
2,2608.9792251586914,3.8203125
3,2235.353469848633,3.28125
4,2705.8568000793457,2.66015625
1,2605.3130626678467,4.640625
0,2180.640459060669,0.03125
3,2511.354684829712,2.671875
2,2806.3578605651855,4.7421875
4,2533.0584049224854,4.1796875
